turku_text,region
"Bahçanın kapısın açtım
Kırmızı güle dolaştım
Öptüm sevdim helallaştım
Bir gül aldım yanağından

Aman şimdi yaman şimdi
Dağlar başı duman şimdi
Kavuşması hoştur amma
Ayrılması yaman şimdi

Uçtum kayalardan uçtum
Yeni sevdalara düştüm
Yar ile tenhada buluştum
Bir gül aldım yanağından

Aman şimdi yaman şimdi
Dağlar başı duman şimdi
Kavuşması hoştur amma
Ayrılması yaman şimdi

Bir gül aldım yanağından
Eme idim dudağından
Dilim ile kan alaydım
Ak gerdanın kenarından

Aman şimdi yaman şimdi
Dağlar başı duman şimdi
Kavuşması hoştur amma
Ayrılması yaman şimdi

Ördek çalkanır göllerde
İsmim söylenir dillerde
Kalmışım gurbet ellerde
Halimden bilenim yoktur

Aman şimdi yaman şimdi
Dağlar başı duman şimdi
Kavuşması hoştur amma
Ayrılması yaman şimdi

Ezme ile ezme ile
Yar bulunmaz gezme ile
Altın kürek kazma ile
Eşin kızlar mezarımı

Aman şimdi yaman şimdi
Dağlar başı duman şimdi
Kavuşması hoştur amma
Ayrılması yaman şimdi

Baktım kaşına gözüne
Can mı dayanır nazına
Siyah zülfün mah yüzüne
Salınıp dökenim gitmiş

Aman şimdi yaman şimdi
Dağlar başı duman şimdi
Kavuşması hoştur amma
Ayrılması yaman şimdi
",erzincan
"Bahçeye indim ki bakraç kolunda
Yari güzel olan işler yolunda
(Yari çirkin olan eller koynunda)
Bahçeye indim ki saat elinde
Saatin kösteği ince belinde

Bahçeye indim ki yarim tek ayak
Elmanın dalına vermiş bir dayak
Dediler gurbetten bugün yar gelmiş
Seğirttim peşine hemen yalnayak

Bahçede ekili pezik değil mi
Yari saran kollar nazik değil mi
Sen gittin üstüme yeni yar sevdin
Ben kaldım yalınız yazık değil mi

Yar sensiz bahçeyi bağı neyleyim
Elmasız ayvasız narı neyleyim
Dün gelmiş yanıma bugünden gider
Ben böyle vefasız yari neyleyim
",erzincan
"Bahçeye kuzu girdi (aman aman)
(haydi) Dişime sızı girdi (aman)
Anasını ararken (aman aman)
(haydi) Koluma kızı girdi (aman)

Öyle olsun da küçük hanım böyle olsun (aman)
Bugünlük de bu akşamlık böyle olsun (aman)

Bahçeye ektim biber (aman aman)
(haydi) Geliyor nazlı dilber (aman)
Kurban olduğum Mevla'm (aman aman)
(haydi) Şu güzeli bana ver (aman)

Öyle olsun da küçük hanım böyle olsun (aman)
Bugünlük de bu akşamlık böyle olsun (aman)
",erzincan
"Bana Derviş demişler
Ben Derviş olamadım
Yanlış haber vermişler

Ben Derviş olamadım
Hakkı da bulamadım

Dervişler halim olur
Hak ile kelim olur
Hem kalbi serin olur

Ben Derviş olamadım
Hakkı da bulamadım

Dervişler mestur olur
Dil sarayı nur olur
Hak ile mamur olur

Ben Derviş olamadım
Hakkı da bulamadım

Dervişler cennet gülü
İsm-i azam bülbülü
Hayat bahşeyler dili

Ben Derviş olamadım
Hakkı da bulamadım

Derviş olan hak olur
Sahib-i idrak olur
Masivadan pak olur

Ben Derviş olamadım
Hakkı da bulamadım

Derviş olan ab olur
Mazhar-ı vahhab olur
Ciğeri kebap olur

Ben Derviş olamadım
Hakkı da bulamadım

Dervişler benzer güle
Bilmezler hiçbir hile
Hakk hakkı seven ile

Ben Derviş olamadım
Hakkı da bulamadım
",erzincan
"Başı pare pare (hey hey) dumanlı dağlar (oy oy)
Duman eylenir mi (hey hey) kar olmayınca (oy oy)
Bana derler bana (hey hey) sen gönül eyle (oy oy)
Gönül eylenir mi (hey hey) yar olmayınca (oy oy)

Ben bu yaylalara (hey hey) yayla mı derim (oy oy)
Başı bölük bölük (hey hey) kar olmayınca (oy oy)
Ben bu güzellere (hey hey) güzel mi derim (oy oy)
Aslı Türkmen kendi (hey hey) bey olmayınca (oy oy)

Aşağıdan gelir (hey hey) saçı sırmadan (oy oy)
Nere koyam gidem (hey hey) murad almadan (oy oy)
Verin beşliyi de (hey hey) ben beni vuram (oy oy)
Ölüm hayırlıdır (hey hey) böyle durmadan (oy oy)
",erzincan
"Başı pare pare dumanlı dağlar
Duman eylenir mi kar olmayınca
Bana derler bana gel gönül eyle
Gönül eylenir mi yar olmayınca

Aşağıdan gelir saçı sırmadan
Nere koyup gidem murat almadan
Verin hançerimi ben beni vuram
Ölüm hayırlıdır böyle durmadan

Yağma yağmur üç gün ara ver
Üç günden ne çıkar beş gün ara ver
Bir nağme yazayım götür yara ver
Bahçede güllerim har olmayınca

Ben bu yaylalara yayla mı derim
Başı bölük bölük kar olmayınca
Ben bu güzellere güzel mi derim
Saçı sırma sırma tel olmayınca
",erzincan
"Başında kara papak
Ağaçlar açtı yaprak
Gel sarılak gel yatak
Ahırı kara toprak (hey)

Oy yandım yandım yandım
Yari yanımda sandım
Sözlerine aldandım
Cahildim pek aldandım (hey)

Elinde saz geliyor
Dağlara yaz geliyor
Kız sana peşin haber
Nişanlın vaz geliyor (hey)

Oy yandım yandım yandım
Yari yanımda sandım
Sözlerine aldandım
Cahildim pek aldandım (hey)

Sallandım indim bağa
Başım değdi yaprağa
Ne kız oldum ne gelin
Civan girdim toprağa (hey)

Oy yandım yandım yandım
Yari yanımda sandım
Sözlerine aldandım
Cahildim pek aldandım (hey)

Armudun kökü çatal
Dibinde yarim yatar
Dillerim diken olmuş
Ne dersem yare batar (hey)

Oy yandım yandım yandım
Yari yanımda sandım
Sözlerine aldandım
Cahildim pek aldandım (hey)
",erzincan
"Be yarenler be gardaşlar
Gör neyledi zaman bizi
Akıttı gözüm yaşını
Sel eyledi zaman bizi

Kimi zengin kimi fakir
Kimi gezer kimi tacir
Ne akıl koydu ne fikir
Deli etti zaman bizi

Alim eder döne döne
Hayının çırası söne
Halimizden bilmeyene
Esir etti zaman bizi
",erzincan
"Bebek beni dar eyledi
Her kapıya kul eyledi
Nenni bebek nenni balam
Nenni dedim uyuyasın
Küçücüksün büyüyesin
Layli layli layli balam
Nenni bebek (nenni) balam
Bebeğin beşiği çamdan
Bey babası gelir Şam'dan
Nenni bebek (nenni) balam

(İstanbul Belediyesi Kons. Derlemesi)
Bebek beni dar eyledi
Her kapuya kul eyledi
Nenni bebek nenni bebek

Nenni dedim uyuyasın
Küçücüksün büyüyesin
Layli layli layli balam

Bebeğin beşiği çamdan
Beybabası gelür Şam'dan
Nenni bebek nenni bebek

Nenni dedim uyuyasın
Küçücüksün büyüyesin
Layli layli layli balam
",erzincan
"Beline bağlamış hançeri paslı
Lisanı İstanbul Erzincan aslı
Sevinin düşmanlar dostlarım yaslı

Aman doktor anan bu ne iş idi
Öyle bir kar yağdı elim üşüdü

Bir gül diktim Çolhasan'ın başına
Doktor rapor vermiş pirinç aşına
Fahri'm girmiş on üç on dört yaşına

Aman doktor anan bu ne iş idi
Öyle bir kar yağdı elim üşüdü

Nişanlıma deyin yanıma gelsin
Dünyadan giderim helallik alsın
Anam babam yoktur eller ağlasın

Aman doktor anan bu ne iş idi
Öyle bir kar yağdı elim üşüdü
",erzincan
"Beline bağlamış kaması paslı
Lisanı İstanbul Erzincan aslı
Sevinir düşmanlar dos(t)ların yaslı

Aman doktor aman bu ne işidi
Öyle bir kar yağdı elim üşüdü

Akşam olur güneş gider ay gelir
O yar gitmiş yatağında yan gelir
Ah edince yüreğimden kan gelir
Meğer bahtım kara yazım böyleymiş
",erzincan
"Ben aşığım bahardaki güllere
Boz bulanık coşup akan sellere
Benden selam olsun bizim ellere
Meler koyun ile kuzu kuzu ne halde

Eridi m'ola Akpınar'ın karı
Andıkça başlar gönlüm ah-u zarı
Hayalimde köyün o bozkırları
Çiğdem çiçek açmış nevruz ne halde

Ahmed'im de der ki gönlüm yaralı
Aylar bilinmiyor yıllar sıralı
Ben köyümden ayrı kaldım kalalı
Cıvıldaşıp öten kuşlar ne halde
",erzincan
"Ben bir güzel sevdim gönlüm içinde
Ayağı yok amma gözleri vardır
Dedim güzel (dilber) nedir sendeki bu hal
Küsmesi yok amma nazları vardır

Al beni beni
Terk etmem seni
Severdin hani

İşaretler ile mani okuyor
Kahkaha atınca bülbül şakıyor
Nazik elleriyle gergef dokuyor
Tezgahı yok amma bezleri vardır

Al beni beni
Terk etmem seni
Severdin hani

İlahi bu Davut Sulari tuhaf
Bir dükkan açmıştır (yar yar) kuyumcu sarraf
Gerçekler karşımda (yar yar) oturur saf saf
(Güzeller karşımda (yar yar) eğlenir saf saf)
Santur cümbüş(ü) yok sazları vardır

Al beni beni
Terk etmem seni
Severdin hani
",erzincan
"Ben de döndüm Mecnun ile Leyla'ya
Gelsin sağ yar ile gidek yaylaya
Şükrolsun bizi yaradan Mevla'ya
Cemi toplamanın zamanı geldi

Ben bu derdi çeke çeke giydim yasını
Doldur ver içeyim dolu tasını
Ta Bağdat'ta işitirsem sesini
Canımı canına katasım geldi

Hüseyni'yem bir kez geldim cihana
Mürşidimi buldum yoktur bahane
Bir sahrada kavuşursak can cana
Taze muhabbetin zamanı geldi
",erzincan
"Ben feleği gördüm ey taştan inerken vay
Hele hele inerken vay vay vay vay
Kırıldı kanadım uçam da derken
(Kırıldı kanadım pervan dönerken uçayım derken)
Neynim de felek neynim ey ben sana neynim

Felek beğenmedim ey senin dutumun vay
Hele hele dutumun vay vay vay vay
Arşa direklenmiş tüter tütünüm
Yurtsuz yuvasız kalmışım yetimim
Ne benimle düştün inada felek
Neynim de felek neynim ey ben sana neynim
",erzincan
"(Arzu)
Ben pınara varmışem
Elim yüzüm yumuşem
Din imanım has Kamber
Sen bileziğimi görmüşsen

(Kamber)
Ben pınara varmadım
Elim yüzüm yumadım
Din imanım has Arzu
Ben bileziğini görmedim

(Arzu)
Keskin kılıç kındadır
Siyah zülfü bizdedir
Din imanım has Kamber
Benim bileziğim sendedir

(Kamber)
Evinin önü suluk
Su akar oluk oluk
Bileziğini görürsem
Ne verirsin müjdanlık (müjdelik)

(Arzu)
Evinin önü suluk
Su akar oluk oluk
Bileziğimi görürsen
Kendim sana müjdanlık (müjdelik)
",erzincan
"Ben pirim diyene selam söyleyin
Nutk-ı ehlullahı tutmaz mı talip
Bu yola yolcuysa hele eğleyin
Hak kelamı kabul kılmaz mı talip

Hak insanda yoktur fitnenin yeri
Talip olamaz mı sözünün eri
Kabul eylemesin zulm ile şerri
Kendinden uzağa atmaz mı talip

Pir olan kişiler riyakar olmaz
İlimsiz irfansız insan yol almaz
Çoğunda dert var ki dermanı bulmaz
Canı şah aşkına vermez mi talip

Davut Sulari de talip bu yola
Cahdet ki çeşmeden bakracın dola
Beni muhtaç etme yaramaz kula
Öl dediğin yerde ölmez mi talip
",erzincan
"Ben yarime ne yaptırdım bir altın tarak
Tara da zülüflerin yarim bir yana bırak (gerdana bırak)
Ben yarime gideceğim yollar pek ırak

Vay efendim vay sultanım hastayım hasta
Kollarım yastıkta yarim gözlerim dosta

Ben yarime ne yaptırdım bir altın yüzük
Takın da parmağına yarim düşmana gözük (ellere gözük)
Ben yarime gideceğim yollar pek bozuk

Vay efendim vay sultanım hastayım hasta
Kollarım yastıkta yarim gözlerim dosta
",erzincan
"Benden ayrılalı yüzün gülmesin
Verem ola kanla irin kusasın
Mıyır mıyır etrafına bakasın
Erim erim eriyesin sevdiğim

Yata yata yan etlerin çürüsün
Ahubbalar etrafını bürüsün
İliğin kesilsin kanın kurusun
Hastalara şan veresin sevdiğim

Dört bir yana kokuların yayılsın
Gadid olup kemiklerin sayılsın
Kurtlar düşüp oyum oyum oyulsun
İnim inim inliyesin sevdiğim

Gurbani der kimse yarin övmesin
Çözemedim ak göğsünün düğmesin
Topla ebruların (eteklerin) yere değmesin
Toz olup da savrulasın sevdiğim
",erzincan
"Benden selam söyle o güzel şaha
Kurduğu yollara gitmiyor talip (dost dost dost dost)
Herkes kendisine bir yol sürüyor
Mürşit buyruğunu tutmuyor talip (dost dost dost dost)

İçeri girüben ikrar hak diyor
Dışarı çıkuban ikrar yok diyor (dost dost dost dost)
Senden gayrı bana mürşit çok diyor
Verdiği ikrardan dönüyor talip (dost dost dost dost)

Talip pirin döşeğinde oturur
Onun'çün ay ile güneş tutulur {dost dost dost dost)
Güzel imamların sırrı bozulur
Görgüsüz halkada oturur talip (dost dost dost dost)

Abdal Pir Sultan'ım ben bir bi-çare
Boynunu eğip de durmuyor dara (dost dost dost dost)
Gönüle de düştü bir sınık yara
İnliye inliye geliyor talip (dost dost dost dost)
",erzincan
"Beni dertlere bıraktın
Ciğerimi nara yaktın
Sen de mi canından bıktın
Benim gibi benim gibi

İlinizde yare var mı
Dertlilere çare var mı
Böyle bahtı kare var mı
Benim gibi benim gibi

Zalımların yarı var mı
Mansur sözün darı var mı
Beklediğin biri var mı
Benim gibi benim gibi

Beyhani'yem garip kaldım
Açıldım sarardım soldum
Kendine bir yar mı buldun
Benim gibi benim gibi
",erzincan
"Bugün ben bir güzel gördüm
Melek hurisine benzer
Ela gözlerin altında
Gülün goncasına benzer

Kaşları yaydır ok atar
Gonca gibi al yanaklar
Sevdiğim kiraz dudaklar
Şeker şerbetine benzer

İnce belli selvi boylum
Dudu gibi şirin dillim
Kızım senin beyaz göğsün
Cennet yaylasına benzer

Kaşları yaydır ok atar
Gonca gibi al yanaklar
Sevdiğim kiraz dudaklar
Şeker şerbetine benzer

Baygınım onu göreli
Benleri var üç köşeli
Kudretten gözü sürmeli
Şahin yavrusuna benzer

Kaşları yaydır ok atar
Gonca gibi al yanaklar
Sevdiğim kiraz dudaklar
Şeker şerbetine benzer
",erzincan
"Beş günlük dünyada hey Ademoğlu
Kamillik kemali yolu gözle gel
Cümle alemin başı Hakk'a bağlıdır
Marifet söyleyen dili gözle gel

Varıp eller için kuyular kazma
Hırsa nefse uyup yolundan azma
Konuş hasmın ile küsülü gezme
Koy desinler sana be hey divane

Pir Sultan Abdal'ım sinem pareler
Yıkıldı viraneler kaldı ulular
Her ne iş işlersen seni görürler
Cihanı boş görme dolu gözle gel
",erzincan
"Beyhude süs verme kendi kendine
Dolaş dertli gönül sana da kalmaz
Bir gün düşeceksin felek bendine
Dolaş dertli gönül sana da kalmaz

Bin türlü naz ile civan olsan da
Hükmü Süleyman'a sultan olsan da
Güzellikte Yusuf Kenan olsan da
Dolaş dertli gönül sana da kalmaz

Beyhani'yem bu dert bana firgattır
Dünyanın sefası benden uzaktır
Toprak hepimize son bir duraktır
Dolaş dertli gönül sana da kalmaz
",erzincan
"Beytahtından gelen dilber
Acep bana yar olmaz mı
Sarılıp koluna girsem
Sabahtan bayram olmaz mı

(ah) Aman eller ince beller
Tatlı şirin güzel diller
Yarın Hak'tan utanmaz mı
Sana kötü diyen diller

Beytahtından gelen güzel
Gözlerini baygın süzer
Beni baştan çıkarıyor
Çatık kaşlı esmer dilber

(ah) Aman eller ince beller
Tatlı şirin güzel diller
Yarın Hak'tan utanmaz mı
Sana kötü diyen diller
",erzincan
"(vay le le le le) Bezir kaynar çanakda (ey)
(vay le le le le) Gül açılır yanakda (ey)
(vay le le le le) Gedin o yara deyin (ey)
(vay le le le le) Evlenmesin Kemah'da (ey)

(vay le le le le) Kemah'ta yeşil hıyar (ey)
(vay le le le le) Boyun boyuma uyar (ey)
(vay le le le le) İkimiz çift göğercin (ey)
(vay le le le le) Ayırmaya kim kıyar (ey)

(vay le le le le) Bostanı bellediler (ey)
(vay le le le le) Suyuni sellediler (ey)
(vay le le le le) Bu nasıl zalım (hain) kövdür (ey)
(vay le le le le) Sevmeden dillediler (ey)
",erzincan
"Bin kalem bitirdim seni yazmakla
Her şeyi yitirdim sana yanmakla
Boşa gider diye gelmez ki akla
Hayat fırtınaymış atarsın takla

Ne kadar özledim sevdiğim gülü
Yakındasın ama kıyamet günü
Ben mutlu görmedim seninle günü
Her hasret benimdir zalimin zulmü

Hasani'yem der ki kısa boyuna
Kurban olam hünerine huyuna
Her parmak marifet güzel huyuna
Kurban olam sana canım canına
",erzincan
"Bir acı rüzgar esince
Sallanmadık dal mı kalır (leyli de leyli)
Dost dostunu arzularsa
Aşılmadık yol mu (da) kalır (leyli de leyli)

Minnet eylersem o yare
Olur mu derdime çare (leyli de leyli)
Hiç kimsem yok yaram sara
Sarılmadık dert mi kalır (leyli de leyli)

İsmail'em der bu demden
Gönlüm ayrılır mı senden (leyli de leyli)
Bulursa sevdiği yari
(Arayıp da bulsan yari)
Sevilmedik yar mı (da) kalır (leyli de leyli)
",erzincan
"Bir atlı da geliyor
Gelin kime geliyor

Atlı yanıma vardi
Gözlerimi kan aldi

Atına atma beni
Vallahi (Billahi) tutmam seni

Öldürecektim seni
Niya tutmirsan beni

Elindeki tos miydi
Nişanlın çok has idi

Karşina çıktı atli
Bir elma soyduk tatli

Kıbo gel de kavuşak
İkimiz de muratli

Kırmlar da bu mudur
Şurdan akan su mudur

Oğlan attın sepeti
Senin şanın bu mudur

Sabah uykularımi
Verin eskere verin

Verin esker uyusun
Uşağ İsa büyüsün

Gidersen beni gözle
Atına binmem senin

Sabahtan gel göreyim
O saçların öreyim

Girdim hoşin deriye
Yoldum yapraklarıni

Kız derede gidirdik
Öptüm yanaklarıni
",erzincan
"Bir ay doğar Pasenden (emminin kızı)
Bir ay doğar Pasenden (hopbala bala)
Ay bulut arasından (ben nedem oy)
Eyle bir yar sevmişem (emminin kızı)
Eyle bir yar sevmişem (hopbala bala)
Katmer gülün hasından (ben nedem oy)

Bir ay doğar kenarsız (emminin kızı)
Bir ay doğar kenarsız (hopbala bala)
Yar vefasız ben arsız (ben nedem oy)
Böylece ah çekerim (emminin kızı)
Böylece ah çekerim (hopbala bala)
Halin kime yanarsız (ben nedem oy)
",erzincan
"Bir ay doğar Pasın'dan (gavurun kızı)
Ay bulut arasından (ben nidem oy)
Öyle bir yar sevmişem (gavurun kızı)
Katmer gülün hasından (ben nidem oy)

Bir ay doğar hamarsız (gavurun kızı)
Yar vefasız ben arsız (ben nidem oy)
Yürekten ah çekerim (gavurun kızı)
Halim kime yanarsız (ben nidem oy)


",erzincan
